mode,step,epoch,metrics
val,step=1240,epoch=40,loss=0.721241 loss_rec=0.721241 loss_eq=0.000000 acc/pixel_acc=0.748887 acc/mean_pixel_acc=0.472485 acc/iou=0.369290 best_acc/pixel_acc=0.750691 best_acc/mean_pixel_acc=0.472821 best_acc/iou=0.369290
val,step=1271,epoch=41,loss=0.691155 loss_rec=0.691155 loss_eq=0.000000 acc/pixel_acc=0.764785 acc/mean_pixel_acc=0.482498 acc/iou=0.386713 best_acc/pixel_acc=0.764785 best_acc/mean_pixel_acc=0.482498 best_acc/iou=0.386713
train,step=1300,epoch=42,loss=0.581275 loss_rec=0.573582 loss_eq=0.153865 acc/pixel_acc=0.777795 acc/mean_pixel_acc=0.540957 acc/iou=0.434128
val,step=1302,epoch=42,loss=0.705750 loss_rec=0.705750 loss_eq=0.000000 acc/pixel_acc=0.761875 acc/mean_pixel_acc=0.486794 acc/iou=0.387496 best_acc/pixel_acc=0.764785 best_acc/mean_pixel_acc=0.486794 best_acc/iou=0.387496
val,step=1333,epoch=43,loss=0.674520 loss_rec=0.674520 loss_eq=0.000000 acc/pixel_acc=0.765848 acc/mean_pixel_acc=0.488610 acc/iou=0.403610 best_acc/pixel_acc=0.765848 best_acc/mean_pixel_acc=0.488610 best_acc/iou=0.403610
val,step=1364,epoch=44,loss=0.682525 loss_rec=0.682525 loss_eq=0.000000 acc/pixel_acc=0.766687 acc/mean_pixel_acc=0.503870 acc/iou=0.409053 best_acc/pixel_acc=0.766687 best_acc/mean_pixel_acc=0.503870 best_acc/iou=0.409053
val,step=1395,epoch=45,loss=0.669332 loss_rec=0.669332 loss_eq=0.000000 acc/pixel_acc=0.770290 acc/mean_pixel_acc=0.506617 acc/iou=0.407743 best_acc/pixel_acc=0.770290 best_acc/mean_pixel_acc=0.506617 best_acc/iou=0.409053
train,step=1400,epoch=46,loss=0.558729 loss_rec=0.550109 loss_eq=0.172402 acc/pixel_acc=0.798053 acc/mean_pixel_acc=0.554503 acc/iou=0.457325
val,step=1426,epoch=46,loss=0.651047 loss_rec=0.651047 loss_eq=0.000000 acc/pixel_acc=0.764543 acc/mean_pixel_acc=0.532349 acc/iou=0.415840 best_acc/pixel_acc=0.770290 best_acc/mean_pixel_acc=0.532349 best_acc/iou=0.415840
val,step=1457,epoch=47,loss=0.655452 loss_rec=0.655452 loss_eq=0.000000 acc/pixel_acc=0.774457 acc/mean_pixel_acc=0.537971 acc/iou=0.434009 best_acc/pixel_acc=0.774457 best_acc/mean_pixel_acc=0.537971 best_acc/iou=0.434009
val,step=1488,epoch=48,loss=0.664287 loss_rec=0.664287 loss_eq=0.000000 acc/pixel_acc=0.774258 acc/mean_pixel_acc=0.555096 acc/iou=0.431601 best_acc/pixel_acc=0.774457 best_acc/mean_pixel_acc=0.555096 best_acc/iou=0.434009
train,step=1500,epoch=49,loss=0.586536 loss_rec=0.577870 loss_eq=0.173314 acc/pixel_acc=0.803115 acc/mean_pixel_acc=0.600975 acc/iou=0.497805
val,step=1519,epoch=49,loss=0.623828 loss_rec=0.623828 loss_eq=0.000000 acc/pixel_acc=0.787954 acc/mean_pixel_acc=0.576111 acc/iou=0.460517 best_acc/pixel_acc=0.787954 best_acc/mean_pixel_acc=0.576111 best_acc/iou=0.460517
val,step=1550,epoch=50,loss=0.640858 loss_rec=0.640858 loss_eq=0.000000 acc/pixel_acc=0.788051 acc/mean_pixel_acc=0.582731 acc/iou=0.464350 best_acc/pixel_acc=0.788051 best_acc/mean_pixel_acc=0.582731 best_acc/iou=0.464350
val,step=1581,epoch=51,loss=0.624345 loss_rec=0.624345 loss_eq=0.000000 acc/pixel_acc=0.779578 acc/mean_pixel_acc=0.597709 acc/iou=0.460453 best_acc/pixel_acc=0.788051 best_acc/mean_pixel_acc=0.597709 best_acc/iou=0.464350
train,step=1600,epoch=52,loss=0.515804 loss_rec=0.505112 loss_eq=0.213854 acc/pixel_acc=0.828142 acc/mean_pixel_acc=0.656617 acc/iou=0.552970
val,step=1612,epoch=52,loss=0.612265 loss_rec=0.612265 loss_eq=0.000000 acc/pixel_acc=0.782446 acc/mean_pixel_acc=0.601646 acc/iou=0.466536 best_acc/pixel_acc=0.788051 best_acc/mean_pixel_acc=0.601646 best_acc/iou=0.466536
val,step=1643,epoch=53,loss=0.598191 loss_rec=0.598191 loss_eq=0.000000 acc/pixel_acc=0.792066 acc/mean_pixel_acc=0.598466 acc/iou=0.490085 best_acc/pixel_acc=0.792066 best_acc/mean_pixel_acc=0.601646 best_acc/iou=0.490085
val,step=1674,epoch=54,loss=0.612642 loss_rec=0.612642 loss_eq=0.000000 acc/pixel_acc=0.784621 acc/mean_pixel_acc=0.616729 acc/iou=0.480571 best_acc/pixel_acc=0.792066 best_acc/mean_pixel_acc=0.616729 best_acc/iou=0.490085
train,step=1700,epoch=55,loss=0.494833 loss_rec=0.482016 loss_eq=0.256335 acc/pixel_acc=0.834050 acc/mean_pixel_acc=0.679781 acc/iou=0.574709
val,step=1705,epoch=55,loss=0.581190 loss_rec=0.581190 loss_eq=0.000000 acc/pixel_acc=0.791133 acc/mean_pixel_acc=0.619187 acc/iou=0.492963 best_acc/pixel_acc=0.792066 best_acc/mean_pixel_acc=0.619187 best_acc/iou=0.492963
val,step=1736,epoch=56,loss=0.579417 loss_rec=0.579417 loss_eq=0.000000 acc/pixel_acc=0.800916 acc/mean_pixel_acc=0.610180 acc/iou=0.502379 best_acc/pixel_acc=0.800916 best_acc/mean_pixel_acc=0.619187 best_acc/iou=0.502379
val,step=1767,epoch=57,loss=0.580788 loss_rec=0.580788 loss_eq=0.000000 acc/pixel_acc=0.807030 acc/mean_pixel_acc=0.595333 acc/iou=0.505772 best_acc/pixel_acc=0.807030 best_acc/mean_pixel_acc=0.619187 best_acc/iou=0.505772
val,step=1798,epoch=58,loss=0.589860 loss_rec=0.589860 loss_eq=0.000000 acc/pixel_acc=0.809024 acc/mean_pixel_acc=0.627298 acc/iou=0.514811 best_acc/pixel_acc=0.809024 best_acc/mean_pixel_acc=0.627298 best_acc/iou=0.514811
train,step=1800,epoch=59,loss=0.525962 loss_rec=0.515390 loss_eq=0.211434 acc/pixel_acc=0.845961 acc/mean_pixel_acc=0.673020 acc/iou=0.581300
val,step=1829,epoch=59,loss=0.554381 loss_rec=0.554381 loss_eq=0.000000 acc/pixel_acc=0.811494 acc/mean_pixel_acc=0.635801 acc/iou=0.524503 best_acc/pixel_acc=0.811494 best_acc/mean_pixel_acc=0.635801 best_acc/iou=0.524503
val,step=1860,epoch=60,loss=0.572322 loss_rec=0.572322 loss_eq=0.000000 acc/pixel_acc=0.800750 acc/mean_pixel_acc=0.600721 acc/iou=0.495616 best_acc/pixel_acc=0.811494 best_acc/mean_pixel_acc=0.635801 best_acc/iou=0.524503
val,step=1891,epoch=61,loss=0.589494 loss_rec=0.589494 loss_eq=0.000000 acc/pixel_acc=0.809753 acc/mean_pixel_acc=0.644046 acc/iou=0.529558 best_acc/pixel_acc=0.811494 best_acc/mean_pixel_acc=0.644046 best_acc/iou=0.529558
train,step=1900,epoch=62,loss=0.531534 loss_rec=0.520495 loss_eq=0.220781 acc/pixel_acc=0.848562 acc/mean_pixel_acc=0.700547 acc/iou=0.600964
val,step=1922,epoch=62,loss=0.549805 loss_rec=0.549805 loss_eq=0.000000 acc/pixel_acc=0.818397 acc/mean_pixel_acc=0.638002 acc/iou=0.535269 best_acc/pixel_acc=0.818397 best_acc/mean_pixel_acc=0.644046 best_acc/iou=0.535269
val,step=1953,epoch=63,loss=0.543714 loss_rec=0.543714 loss_eq=0.000000 acc/pixel_acc=0.815285 acc/mean_pixel_acc=0.637231 acc/iou=0.534652 best_acc/pixel_acc=0.818397 best_acc/mean_pixel_acc=0.644046 best_acc/iou=0.535269
val,step=1984,epoch=64,loss=0.565744 loss_rec=0.565744 loss_eq=0.000000 acc/pixel_acc=0.813468 acc/mean_pixel_acc=0.648036 acc/iou=0.534230 best_acc/pixel_acc=0.818397 best_acc/mean_pixel_acc=0.648036 best_acc/iou=0.535269
train,step=2000,epoch=65,loss=0.491169 loss_rec=0.476604 loss_eq=0.291294 acc/pixel_acc=0.860362 acc/mean_pixel_acc=0.724565 acc/iou=0.623634
val,step=2015,epoch=65,loss=0.598274 loss_rec=0.598274 loss_eq=0.000000 acc/pixel_acc=0.799153 acc/mean_pixel_acc=0.665195 acc/iou=0.535766 best_acc/pixel_acc=0.818397 best_acc/mean_pixel_acc=0.665195 best_acc/iou=0.535766
val,step=2046,epoch=66,loss=0.605339 loss_rec=0.605339 loss_eq=0.000000 acc/pixel_acc=0.808173 acc/mean_pixel_acc=0.655645 acc/iou=0.525286 best_acc/pixel_acc=0.818397 best_acc/mean_pixel_acc=0.665195 best_acc/iou=0.535766
val,step=2077,epoch=67,loss=0.568035 loss_rec=0.568035 loss_eq=0.000000 acc/pixel_acc=0.812803 acc/mean_pixel_acc=0.659538 acc/iou=0.537722 best_acc/pixel_acc=0.818397 best_acc/mean_pixel_acc=0.665195 best_acc/iou=0.537722
